record_id,label_true,affiliation
7927,7927,", IBM Almaden Research Center, 650 Harry Road, CA 95120, San Jose, USA"
7930,7930,", IIT Bombay"
7987,7987,", University of California, San Diego, USA"
5613,5613,"28msec Inc., Zurich, Switzerland"
9530,5613,"28msec, Inc."
7952,7952,"76 Patision Street, Athens University of Economics and Business, Athens, Greece"
7569,7569,Aalborg Univ.
7608,7569,"Aalborg Univ., Aalborg, The Netherlands"
946,7569,Aalborg University
2336,7569,"Aalborg University, Aalborg, Denmark"
2367,7569,"Aalborg University, Denmark"
8298,7569,"Aalborg University, Denmark, Ost, Denmark"
651,651,"Advanced Data Management Technologies Laboratory, Department of Computer Science, University of Pittsburgh, Pittsburgh, PA"
7572,7572,Agricultural Univ. of Athens
8865,8865,"Alma Mater Studiorum—Università di Bologna, Bologna, Italy"
8445,7927,Almaden
5887,7927,"Almaden Research Center, San Jose, CA, USA"
672,672,"Amazon Corp., Seattle"
8128,672,"Amazon.com, Seattle"
8425,8425,"Applications Research Laboratory, Corporate Technology Group, Intel Corporation, USA"
3893,3893,"Aristotle University, Thessaloniki, Greece"
2341,2341,"Arizona State Univ., Tempe, AZ"
2634,2341,Arizona State University
494,2341,"Arizona State University, Arizona"
2385,2341,"Arizona State University, Tempe, AZ"
5629,2341,"Arizona State University, Tempe, AZ, USA"
9469,2341,"Arizona State University, Tempe, USA"
3068,3068,Aster Data
9563,3068,Aster Data Systems
5130,2341,"ASU, Tempe, AZ"
4046,4046,AT & T Labs-Research
4168,4046,"AT & T Labs-Research, Florham Park, NJ"
9264,4046,"AT & T Labs-Research, Florham Park, USA 07932"
3435,4046,AT&T
6808,4046,AT&T Laboratories
6259,4046,"AT&T Laboratories - Research, Florham Park, NJ, USA"
1635,4046,AT&T Labs
1702,4046,AT&T Labs - Research
4264,4046,"AT&T Labs - Research, Florham Park, NJ"
5865,4046,"AT&T Labs - Research, Florham Park, NJ, USA"
7429,4046,AT&T Labs -- Research
7761,4046,"AT&T Labs &ndash;&#8211; Research, 180 Park Avenue, Bldg 103, Florham Park, NJ 07932, USA; E-mail: divesh@research.att.com"
2240,4046,AT&T Labs Inc.
6367,4046,"AT&T Labs Inc. - Research, Florham Park, NJ, USA"
454,4046,AT&T Labs Research
7730,4046,"AT&T Labs Research, 180 Park Avenue, Room E243, Florham Park, NJ 07932, USA; E-mail: mff@research.att.com"
7699,4046,"AT&T Labs Research, Florham Park, N.J., USA; e-mail: divesh@research.att.com"
1072,4046,"AT&T Labs Research, Florham Park, NJ"
5996,4046,"AT&T Labs Research, Florham Park, NJ, USA"
7733,4046,AT&T Labs Research; E-mail: suciu@research.att.com
7080,4046,AT&T Labs---Research
7659,4046,"AT&T Labs---Research, Florham Park, NJ"
3142,4046,AT&T Labs--Research
3117,4046,"AT&T Labs--Research, Florham Park, NJ"
8034,4046,"AT&T Labs--Research, NJ"
8024,4046,"AT&T Labs--Research, USA"
103,4046,AT&T Labs-Research
7737,4046,"AT&T Labs-Research, 180 Park Ave., Room E 233, Florham Park, NJ 07932-0971, USA; http://www.research.att.com/~suciu"
7710,4046,"AT&T Labs-Research, 180 Park Avenue, Bldg. 103, Florham Park, NJ 07932, USA; e-mail: {sihem, divesh}@research.att.com"
8948,4046,"AT&T Labs-Research, Florham Park NJ"
2964,4046,"AT&T Labs-Research, Florham Park, NJ"
5773,4046,"AT&T Labs-Research, New Jersey, NJ, USA"
1456,4046,"AT&T Labs-Research, NJ"
8577,4046,"AT&T Labs-Research, USA"
9240,4046,"AT&T Labs, Florham Park, NJ"
6156,4046,"AT&T Labs, Florham Park, NJ, USA"
6764,4046,"AT&T Labs, Research"
7624,4046,AT&T Labs?Research
9400,4046,"AT&T Labs&mdash;&#8212;Research, Florham Park, NJ"
7112,4046,AT&T Research
7105,4046,"AT&T Research Laboratory, Florham Park, NJ"
3074,7952,Athens Univ. of Economics and Business
5179,7952,"Athens University of Economics and Business, Athens, Greece"
2494,7952,"Athens University of Economics and Business, Greece"
5204,4046,"ATT Labs - Research, Florham Park, NJ"
1854,1854,"Basic Research Unit, Helsinki Institute for Information Technology, Department of Computer Science, University of Helsinki, Finland"
1140,1140,"Bayerisches Forschungszentrum für Wissensbasierte Systeme, Orleansstrá, München, Germany"
3653,3653,BEA Systems
6321,3653,"BEA Systems Inc, San Jose, CA, USA"
2587,3653,"BEA Systems, Inc, San Jose"
2465,3653,"BEA Systems, Inc."
1224,3653,"BEA Systems, Inc.,"
4616,3653,"BEA Systems, Inc., Burlington, MA"
5337,3653,"BEA Systems, Inc., San Francisco, CA"
799,3653,"BEA Systems, Inc., San Jose, CA"
804,3653,"BEA Systems, Inc., San Jose, CA and Computer Science Department at the University of California, San Diego"
4627,3653,"BEA Systems, Liberty Corner, NJ"
9233,3653,"BEA Systems, Redwood Shores, CA"
4629,3653,"BEA Systems, San Francisco, CA"
1583,3653,"BEA Systems, San Jose, CA"
1585,3653,"BEA Systems, San Jose, CA and Technical University of Munich, Munich, Germany"
8070,3653,"BEA Systems, USA"
4236,3653,"BEA Systems. Inc., San Francisco, CA"
3,3,Bell Laboratories
100,100,Bell Laboratories (India)
6511,3,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ"
7861,3,"Bell Laboratories, 600 Mountain Avenue, Murray Hill, NJ 07974, USA; e-mail: {minos,rastogi}@bell-labs.com"
5671,5671,"Bell Laboratories, Alcatel-Lucent, Lisle, IL, USA"
22,3,"Bell Laboratories, Lucent Technologies"
7913,3,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, Murray Hill, USA"
7717,3,"Bell Laboratories, Lucent Technologies, 600 Mountain Ave., NJ 07974, USA; {cychan, pascal, minos, rastogi}@research.bell-labs.com"
7320,3,"Bell Laboratories, Lucent Technologies, Murray Hill, NJ"
8098,3,"Bell Laboratories, Lucent Technologies, USA"
6586,3,"Bell Laboratories, Murray Hill, NJ"
455,3,Bell Labs
4330,3,Bell Labs Research
5591,100,"Bell Labs Research India, India"
5655,100,"Bell Labs Research, Bangalore, India"
2246,3,"Bell Labs, Alcatel-Lucent"
7007,3,"Bell Labs, Lucent"
1,3,"Bell Labs, Lucent Technologies"
7120,3,"Bell Labs, Lucent Technologies Murray Hill, NJ"
7999,3,"Bell Labs, Lucent Technologies, Murray Hill, New Jersey"
8206,3,"Bell Labs, Lucent Technologies, Murray Hill, NJ"
6487,3,"Bell Labs, Murray Hill, NJ"
6538,3,Bell Labs.
543,543,Berkeley
4052,4052,Berufsakademie Stuttgart/IBM Germany
8106,8106,"Bilkent University, Ankara, Turkey"
8108,8106,"Bilkent University, Bursa, Turkey"
321,543,"Biological Data Management and Technology Center, Berkeley, CA"
4246,4246,Boeing Phantom Works
257,257,Boston University
2331,257,"Boston University, Boston, MA"
5642,257,"Boston University, Boston, MA, USA"
9373,257,"Boston University, Boston, USA"
9383,257,"Boston University, Boston, USA 02215"
1009,1009,Brandeis University
155,1009,"Brandeis University, Waltham, MA"
5706,1009,"Brandeis University, Waltham, MA, USA"
9625,9625,Brown U
736,9625,Brown University
164,9625,"Brown University, Providence, RI"
5999,9625,"Brown University, Providence, RI, USA"
4644,9625,"Brown University, Providence, RI."
9063,9063,C.M.U.
1098,1098,"C&C Research Laboratories - Silicon Valley, NEC USA, INC., Cupertino, California"
1244,1098,"C&C Research Laboratories - Silicon Valley, NEC USA, Inc., Suite, Cupertino, California"
7777,1098,"C&C Research Laboratories, NEC USA, 110 Rio Robles, M/S SJ100, San Jose, CA 95134, USA; E-mail: {wen,candan,hirata,hara}@ccrl.sj.nec.com"
6883,1098,"C&C Research Laboratories, NEC, Inc., 110 Rio Robles, San Jose, CA"
233,9063,Carnegie Mellon University
9792,9063,"Carnegie Mellon University, 5000 Forbes Ave., Pittsburgh, PA 15213, USA"
9040,9063,"Carnegie Mellon University, Akamai Technologies"
9039,9063,"Carnegie Mellon University, EPFL"
9041,9063,"Carnegie Mellon University, Intel Research Pittsburgh"
4139,9063,"Carnegie Mellon University, Pittsburgh"
18,9063,"Carnegie Mellon University, Pittsburgh, PA"
5598,9063,"Carnegie Mellon University, Pittsburgh, PA, USA"
896,9063,"Carnegie Mellon University, Pittsburgh, Pennsylvania"
8064,9063,"Carnegie Mellon University, USA"
32,32,"Case Western Reserve University, Cleveland, OH"
1651,1651,Cedric-CNAM
2691,1651,"CEDRIC-CNAM Paris, France"
9413,1651,"Cedric, CNAM, Paris, France"
